 Downloading crates ...
  Downloaded parking_lot_core v0.9.12
  Downloaded solana-transaction-error v3.4.0
  Downloaded solana-address-lookup-table-interface v3.2.0
  Downloaded find-msvc-tools v0.1.12
  Downloaded hmac v0.12.1
  Downloaded num-integer v0.1.47
  Downloaded shlex v2.0.1
  Downloaded num-bigint v0.4.8
  Downloaded rand_core v0.6.4
  Downloaded cc v1.4.5
  Downloaded k256 v0.13.4
  Downloaded crypto-bigint v0.5.5
  Downloaded der v0.7.10
  Downloaded elliptic-curve v0.13.8
  Downloaded blake3 v1.8.7
  Downloaded semver v1.0.28
  Downloaded typenum v1.20.1
  Downloaded arrayvec v0.7.8
  Downloaded solana-nonce v3.3.0
  Downloaded constant_time_eq v0.4.2
  Downloaded solana-message v3.1.0
  Downloaded ecdsa v0.16.9
  Downloaded base16ct v0.2.0
  Downloaded curve25519-dalek-derive v0.1.1
  Downloaded block-buffer v0.10.4
  Downloaded crypto-common v0.1.7
  Downloaded digest v0.10.7
  Downloaded sha2 v0.10.9
  Downloaded cpufeatures v0.3.1
  Downloaded fiat-crypto v0.2.9
  Downloaded curve25519-dalek v4.1.3
  Downloaded solana-system-interface v2.0.0
  Downloaded keccak v0.1.6
  Downloaded ff v0.13.1
  Downloaded base64 v0.22.1
  Downloaded version_check v0.9.5
  Downloaded subtle v2.6.1
  Downloaded group v0.13.0
  Downloaded signature v2.2.0
  Downloaded wasi v0.11.1+wasi-snapshot-preview1
  Downloaded const-oid v0.9.6
  Downloaded solana-example-mocks v3.0.0
  Downloaded rfc6979 v0.4.0
  Downloaded base64ct v1.8.3
  Downloaded libc v0.2.189
  Downloaded spki v0.7.3
  Downloaded sha3 v0.10.9
  Downloaded pkcs8 v0.10.2
  Downloaded cpufeatures v0.2.17
  Downloaded zeroize v1.9.0
  Downloaded generic-array v0.14.7
  Downloaded smallvec v1.16.0
  Downloaded parking_lot v0.12.5
  Downloaded getrandom v0.2.17
  Downloaded rustc_version v0.4.1
  Downloaded lock_api v0.4.14
  Downloaded cfg-if v1.0.4
  Downloaded redox_syscall v0.5.18
  Downloaded sec1 v0.7.3
  Downloaded scopeguard v1.2.0
  Downloaded bitflags v2.13.1
  Downloaded windows-link v0.2.1
