 Downloading crates ...
  Downloaded solana-sdk-ids v3.1.0
  Downloaded bytemuck_derive v1.12.0
  Downloaded pastey v0.2.3
  Downloaded proc-macro2 v1.0.107
  Downloaded syn v3.0.5
  Downloaded solana-define-syscall v3.0.0
  Downloaded memoffset v0.9.1
  Downloaded solana-blake3-hasher v3.1.0
  Downloaded solana-big-mod-exp v3.0.0
  Downloaded num-traits v0.2.19
  Downloaded memchr v2.8.3
  Downloaded indexmap v2.14.2
  Downloaded toml_edit v0.25.13+spec-1.1.0
  Downloaded borsh v1.8.1
  Downloaded serde v1.0.229
  Downloaded hashbrown v0.17.1
  Downloaded winnow v1.0.4
  Downloaded bytes v1.12.1
  Downloaded bytemuck v1.25.2
  Downloaded darling v0.23.0
  Downloaded unicode-ident v1.0.24
  Downloaded tinyvec v1.13.2
  Downloaded once_cell v1.21.4
  Downloaded borsh-derive v1.8.1
  Downloaded syn v2.0.119
  Downloaded darling_core v0.23.0
  Downloaded solana-short-vec v3.3.0
  Downloaded autocfg v1.5.1
  Downloaded bincode v1.3.3
  Downloaded bs58 v0.5.1
  Downloaded solana-sysvar v3.1.1
  Downloaded equivalent v1.0.2
  Downloaded toml_datetime v1.1.1+spec-1.1.0
  Downloaded toml_parser v1.1.3+spec-1.1.0
  Downloaded proc-macro-crate v3.5.0
  Downloaded solana-program-error v3.0.1
  Downloaded thiserror-impl v2.0.20
  Downloaded thiserror v2.0.20
  Downloaded solana-cpi v3.1.0
  Downloaded solana-hash v3.1.0
  Downloaded solana-instructions-sysvar v3.0.1
  Downloaded solana-keccak-hasher v3.1.0
  Downloaded solana-program-option v3.1.0
  Downloaded solana-program-pack v3.1.0
  Downloaded solana-serde-varint v3.0.1
  Downloaded solana-instruction-error v2.5.0
  Downloaded solana-instruction v3.5.0
  Downloaded solana-stable-layout v3.0.1
  Downloaded lazy_static v1.5.0
  Downloaded solana-clock v3.2.0
  Downloaded solana-epoch-schedule v3.3.0
  Downloaded solana-last-restart-slot v3.2.0
  Downloaded solana-account-info v3.1.1
  Downloaded solana-slot-hashes v3.2.0
  Downloaded feature-probe v0.1.1
  Downloaded solana-get-sysvar v1.0.0
  Downloaded cfg_aliases v0.2.2
  Downloaded solana-sanitize v3.0.1
  Downloaded solana-sha256-hasher v3.1.0
  Downloaded ident_case v1.0.1
  Downloaded wincode-derive v0.5.1
  Downloaded solana-epoch-stake v3.0.1
  Downloaded solana-msg v3.1.0
  Downloaded solana-native-token v3.0.0
  Downloaded solana-pubkey v3.0.0
  Downloaded solana-secp256k1-recover v3.3.0
  Downloaded solana-serialize-utils v3.1.2
  Downloaded solana-epoch-rewards v3.2.0
  Downloaded solana-fee-calculator v3.3.0
  Downloaded solana-program-entrypoint v3.1.1
  Downloaded solana-pubkey v4.3.0
  Downloaded solana-slot-history v3.2.0
  Downloaded solana-define-syscall v4.0.1
  Downloaded five8_core v1.0.0
  Downloaded solana-hash v4.6.0
  Downloaded strsim v0.11.1
  Downloaded solana-address v1.1.0
  Downloaded log v0.4.34
  Downloaded solana-program-memory v3.1.0
  Downloaded solana-rent v3.1.0
  Downloaded tinyvec_macros v0.1.1
  Downloaded solana-sdk-macro v3.0.1
  Downloaded bv v0.11.1
  Downloaded five8_const v1.0.0
  Downloaded solana-define-syscall v5.2.0
  Downloaded five8 v1.0.0
  Downloaded serde_core v1.0.229
  Downloaded serde_derive v1.0.229
  Downloaded solana-atomic-u64 v3.0.1
  Downloaded quote v1.0.47
  Downloaded darling_macro v0.23.0
  Downloaded wincode v0.6.1
  Downloaded solana-program v3.0.0
  Downloaded solana-address v2.7.0
  Downloaded solana-sysvar-id v3.1.0
  Downloaded sha2-const-stable v0.1.0
