2026-Aug-04 07:12:57.327420 INFO    walletd v0.9.5.686-7e1a11e2
2026-Aug-04 07:12:57.328420 INFO    Starting Payment Gate with remote node
2026-Aug-04 07:12:57.328420 INFO    Generating new wallet
2026-Aug-04 07:12:57.338421 INFO    New container initialized
2026-Aug-04 07:12:57.341425 INFO    PQ ledger initialized: mode full, sync height 0, sync timestamp 1785759177, deposit scheme aggregated-multikey, deposits 0
2026-Aug-04 07:12:57.341425 INFO    New wallet added tdisc1q8dch5gp3wg5n0mje7p5cetdwg3tk6d3f34nucm84z9djvrtz7pqj2mdyd9fezgc8q0m2mhwc9gwc8pknq48k2vpzzv70x5zg7lqcwyx67xz0zlrh2pyx0qzapqy97eqt2pn2cct4hchcer8tguk22yr8q4ztdtucjynwlf8zvddn5ppnxuh2tly4ak6808agkvr3g6t4q3xxtq2s38dy6tft8z4rkj4xux8sk9mzu4gj744sy7dlgrae5mqzw5ke3e3ckr6rvzym3yxg57gl7ugcfydtgvywpsjzqqe2ptrj33uncxcxrrmg90ej5xgn893a99uy5d6sw0qaf4z3jpq4zpqu5ntgxffzdj06lpddzjel03zkn5enuyf5lkvs42dsqtmg6y972lzwhpwhfc3hjyu2q5z26d8swryvrktgjdhxv996w426vy2tzhqhr263s3fddscfzglmppndrtkky4lscv55t8st4k800wrplhkf5yvtw3feyx56lz7fgjz903ptk9cw7nqzen7ygu2tgfkjw9sv34s5rwdqfswh69phcrrrgm3x57hzypc7dt7kesgmws5g6qsfyqyjxkyz8y8mc9n86zj0e7rww0vwx8aly80k4g6qcz9ptvmjj0dqm42ck8pp2wgfktke5gp42n4jc44wvlqazu3wf29z55pferrcvqhe2uhj4dqs4p28prg8494gkxqqu3stva0sut2s326gfglgd532f8t2epce3pvvte2j67k0ru77pf44yz03lm2dz8rh76dkgemqxprzjx9dykqzw7fsj0v00f2n8xw99ecxwcyhup854kvh3pch3fwm6yhw2f6efpeq044fpmj2updxdk929tk62epfz60rjmys5vswn9v9hjedh9zdplp2gg2jyurrx6rgluxmy7mqpehkvel49rh4ze9ejuvs5ar0aej5jm764hqnfmpdmpsgsgf2c06w4sgkmyvlnpuuhdxvdkpj2hvw3v3l0znf66858me0d8zvlprx9z2kwj8423svwqcuej89r24k0dgffrc3j6mtamt7hctgjhg4g2vlqvzt45qxa45aua69xentjlnvfx957ekf9a4dnnueqvf5fkpld3773mln59ezp62j4cczfx32c0nwpvmmmef307m4mja0wf066umpcw29yj4wgvywv35p8ggp3v3ujtd0t23ywhmnvuvpnewuyx9va3n9a2ntune3k8q93xfhyumdfsfh092ev6h4amapfd282az4kd7m3g39reqq89z5wl0qky0eya94rdugvlmphx9pr4a93c4txrrtrmqxw29tk7tw3myu5enhuq8xsmtvrkfdezfjpfgk7zekkdkn65m6r6nseczkfv2d0ymrg4t58vm72eezfwnj4lqr3tfv2tptxymcnnhx2tgprskk3wfghr9h3zuqerf8rw283mxk9c9yanu6qqtx92y55lxj0h5x6s38c5p9fxtcms22jkq0p9dsfm7evux323gwe5h5mwlgrqd2c9yskg7npn4c0cxv42fqku2kkv9qsrp0qxyw8chk4t22hruqqj2hq9yfg6xvtuhtgmpzmvh0q4kx2z7k6c3nhmc0ggthn5ejrx4377g5z3stt9hc5j4wjqpyppyf9u6skqxne4ykvrm099m2c3zzk2xd6uvaunp422zn0r5as9krkjwtkjtc39kgln3k4t0qy86wg23hxc2d20hwnq64prnt2w35adh40tjscf3jsnvvjncrq4z4df9cx45m9t4tx86gy93dx0mtuutyla8k9uupdcp5k5w0yuhqymeqlyg7jcsph0j4pglgq5ar42qhy96jlnue7tcxf5njwv6q3guc40a5h3cpxtyzzw2626xd2nnm8qcsdltntnkr5arxxwesj52sdasqkdrx5tqfd5hfwk0zve82m9mt43ut3ha4herujdenf0l7u3dqn9r6yhwm6jyeukfxsvm5rw455vvuqpu6mfdjk0x90w8n5cryadcwqw05usmj9h74tksyc0x7nvpxr2370rkcv6npdr8jjg344e3z3pv3dez0a8eg339wnlkw8h6qzhuq3j7s2m34dchnn5usdr30avtl7znh6dvmm5gxrl2v85gvjc69pjfln3nap6g7fh8rh9kn0zna2vdy9r4dj4lqt9py5630r347wkakju2zkgp7cwc0wvf65atu6hgw6awrt2qkxn4v6mkgz2mslgluvwuyn8rmrav30r9ck0f2zae3h0m3fwsz6ynyc2p823230ncpz4582acarj5cjg30pjqz6r47mes3s00v3fddqfshadm8gw7esje9gzygc8eqgade2ynenzmf8xxecqmu4s4ury8f4rh4q36exel6juzgnx4lmfxkcvf6t4pwys8ws6dvx0yw7x4gsz3j37tuxuehty8zw34qsussw3tdm4yaacknz28wr002c6yd7fjlzmuqudhpg7agq6qfn0ur4z54x0u45a3cg6fe8vtzvycu782unppr0wwn5r26tq8r0zcz72997zkvqc86z2hzfssl25wmkks8tg3cgeffh2sh6f3u77x2fg3aux4m92fjjns9drgs5fxdfz0hjvrda5mtnnh4al62fjg5y0wjy5r3kt6j77raf4kwuzmx4hx695gvdfwrm4vkcr6quar0v0avkrq9e5syp5s7nxxtswkp0zunqntlqcsqzue4hewukeevgtv2nk3j6t9z2nwafpet6grpmydhucdk6mwx8een3dcazlsfm55klwcpqseyhs3qykzuv89ksz9apvf7gayqe9wtp3hxt6j8hc6xjgjc5yxtydlmw4gjmp3dx9qk4p29nzmdg8p4m8y8kwm83z6ar9m2xs56kdvwsru885pw9gh0dx4naq5rw2rpqgrxvs6nwsanvuekeuahpl3mafyh3ngqphq52f8nmkfwgj2nx2s62frssa06pqyldg8wjxtc7m2eyre6n3q0g6undrezwt4znyk2f6vzgtkyvvy6x6quaa2pen4ajt22zasl5zm3jecdmsv90557pckqmfm7lcnn246v0n5rh54wj2nkgfwkunsmz4885emx9f45r58c6tavhk202cx79ttt8uadt2wtzkpsguueha2a6rwgsuwn03sztyjc0nl3s5tr2a5kns9hs7gl6x8em78jqu8heawqtvh386vz0c6ywakztpx2v3z5wc0qewgp3cqfk3jnkplnm4lzznmhxwuugnr4g9wsnpr9uvwuhuya20mggezn4tcely488pemde7dfnu63cvxmt3cgycp9hnyklv9dyemf63x7me8p3qkg8vu9fulp2dsk9dmsflr3kvvx9xcl309dm49lst30df6lwahlhf7tztgxej6zz8ggc7kumh4x9hkdwftxj50hcnnxy473d95hf8tdrwecyrxqgufwqjx4uh5ang3rr24d23f55z32r9gv3wly2jn03j6ztrltxvegx8nm6hcu2ef4wsrewny4zjngnmgztmlyragmsuja98pj69cuswqs0fvunwx55kamgmpfytefz73mhxcpvz4fmalcvc3ffusqphtsdrmmjx65zvk7yhlyknm5eu7x5l454hm69mggpdn5dvpqcmmymzktsdphmzwzaj8m4vlr46fhrvetpwc7kn8wtdfxfq5zeewk6983yts0d7w4gvy94y2awz5pjul9jfxu5q04607yklkqsn4ranzv0wy5s6ntcnhmyxdu9nvmf5upcfu9enyvpvjvgcx0ycapr866u5586a407sjpls79rsx63fqw0wht8m4m5nfakahq2jwgngqcg9my5klrqqtgu6vrvacyt79ags3jyf0kz5hp6dtd05cdswftdw2dwunxyt5t4yldk630wlhy7uk0k2f07gcr49ukmf5r7lxvylg9kpdal2vp0r89h5m6xk4wqlwg0w32vevahtqyk9phua0qvj20clmqcf7vhxmaxxzuxnhvh8h2dgz9xfsnf4lyw3u6jysyjfz8zqr9zaqu85s54fmh3puk7p25g8f2cgac5f2kwyj55r4gn8jcv8d6n3puk29flsdnf2p2he2vh0hpnyym6qxgq0549czkjheykka2wx4rxhw30t4vj8t9puuew075vzsq06f8dhmhehyylaty608waptkz8rrj9h7uj6s4sg6dkfacy9v7qcahpsjn6wfu5c7qk4402kashq97lcgzqh8actsr92erazksal8ty6pgh8mf7flj3m22ezva3q5j7ry5em639czm5nf8k0qk3c2n80gyxgtdnlqjj34vrg83p2hhsx0wh7x727emv9y5c5yprr8f8l4zchgnzq9uzx6n2wtzx789hr08slk3f63rt0l03fs8f98n3f9n3sy08jurudgy9z5yd2m63nvj9wy8s7r25ntr7smr5whkcyqvccw3jwctcetn4npg0ylcysslc7znt546nxzfsesdj2f9frlfymu2ucy4ztx802lakjyy9cu96dwvwqn9zjvwnvxyq7x5z8zeuv6hhgcttmwpgmvdmmanknldnjz6d2k5xhm4ggednm2ftk6fted5ft2lf2neqmtx2gqnncnxt7tmvmttpu3lvenwtg9a7ltjj62hylmulc55q9fhycs9lkakrq7rerf7xu3xu8ht7p59s8xe6zqlv2x0pr0p2ku90cmhfffmwuy4tgl2jruxdhangxhu68yax8yl8pl2tmx46u2uqarj7v5nttag6j44sue4hpkvlt486572dhctvs5p7etd8l4hdykap72t8tvk6hwh5wyy7ud22zu8wd6fktq7ueu6de8fl5clacjlx78qmrzk4hmd4623f9je3jhjwxaa7ul70x34phl49nxvxx96wlsgdrydsdqh0fde2cahkkgxyjr8uep4a5w7356yjx47x4wyg5hhn0f56vv4487lmzppms29sr9cu6pa4vuve0dac7dw6uw, creation timestamp 1785845577
2026-Aug-04 07:12:57.342424 INFO    New wallet generated. Address: tdisc1q8dch5gp3wg5n0mje7p5cetdwg3tk6d3f34nucm84z9djvrtz7pqj2mdyd9fezgc8q0m2mhwc9gwc8pknq48k2vpzzv70x5zg7lqcwyx67xz0zlrh2pyx0qzapqy97eqt2pn2cct4hchcer8tguk22yr8q4ztdtucjynwlf8zvddn5ppnxuh2tly4ak6808agkvr3g6t4q3xxtq2s38dy6tft8z4rkj4xux8sk9mzu4gj744sy7dlgrae5mqzw5ke3e3ckr6rvzym3yxg57gl7ugcfydtgvywpsjzqqe2ptrj33uncxcxrrmg90ej5xgn893a99uy5d6sw0qaf4z3jpq4zpqu5ntgxffzdj06lpddzjel03zkn5enuyf5lkvs42dsqtmg6y972lzwhpwhfc3hjyu2q5z26d8swryvrktgjdhxv996w426vy2tzhqhr263s3fddscfzglmppndrtkky4lscv55t8st4k800wrplhkf5yvtw3feyx56lz7fgjz903ptk9cw7nqzen7ygu2tgfkjw9sv34s5rwdqfswh69phcrrrgm3x57hzypc7dt7kesgmws5g6qsfyqyjxkyz8y8mc9n86zj0e7rww0vwx8aly80k4g6qcz9ptvmjj0dqm42ck8pp2wgfktke5gp42n4jc44wvlqazu3wf29z55pferrcvqhe2uhj4dqs4p28prg8494gkxqqu3stva0sut2s326gfglgd532f8t2epce3pvvte2j67k0ru77pf44yz03lm2dz8rh76dkgemqxprzjx9dykqzw7fsj0v00f2n8xw99ecxwcyhup854kvh3pch3fwm6yhw2f6efpeq044fpmj2updxdk929tk62epfz60rjmys5vswn9v9hjedh9zdplp2gg2jyurrx6rgluxmy7mqpehkvel49rh4ze9ejuvs5ar0aej5jm764hqnfmpdmpsgsgf2c06w4sgkmyvlnpuuhdxvdkpj2hvw3v3l0znf66858me0d8zvlprx9z2kwj8423svwqcuej89r24k0dgffrc3j6mtamt7hctgjhg4g2vlqvzt45qxa45aua69xentjlnvfx957ekf9a4dnnueqvf5fkpld3773mln59ezp62j4cczfx32c0nwpvmmmef307m4mja0wf066umpcw29yj4wgvywv35p8ggp3v3ujtd0t23ywhmnvuvpnewuyx9va3n9a2ntune3k8q93xfhyumdfsfh092ev6h4amapfd282az4kd7m3g39reqq89z5wl0qky0eya94rdugvlmphx9pr4a93c4txrrtrmqxw29tk7tw3myu5enhuq8xsmtvrkfdezfjpfgk7zekkdkn65m6r6nseczkfv2d0ymrg4t58vm72eezfwnj4lqr3tfv2tptxymcnnhx2tgprskk3wfghr9h3zuqerf8rw283mxk9c9yanu6qqtx92y55lxj0h5x6s38c5p9fxtcms22jkq0p9dsfm7evux323gwe5h5mwlgrqd2c9yskg7npn4c0cxv42fqku2kkv9qsrp0qxyw8chk4t22hruqqj2hq9yfg6xvtuhtgmpzmvh0q4kx2z7k6c3nhmc0ggthn5ejrx4377g5z3stt9hc5j4wjqpyppyf9u6skqxne4ykvrm099m2c3zzk2xd6uvaunp422zn0r5as9krkjwtkjtc39kgln3k4t0qy86wg23hxc2d20hwnq64prnt2w35adh40tjscf3jsnvvjncrq4z4df9cx45m9t4tx86gy93dx0mtuutyla8k9uupdcp5k5w0yuhqymeqlyg7jcsph0j4pglgq5ar42qhy96jlnue7tcxf5njwv6q3guc40a5h3cpxtyzzw2626xd2nnm8qcsdltntnkr5arxxwesj52sdasqkdrx5tqfd5hfwk0zve82m9mt43ut3ha4herujdenf0l7u3dqn9r6yhwm6jyeukfxsvm5rw455vvuqpu6mfdjk0x90w8n5cryadcwqw05usmj9h74tksyc0x7nvpxr2370rkcv6npdr8jjg344e3z3pv3dez0a8eg339wnlkw8h6qzhuq3j7s2m34dchnn5usdr30avtl7znh6dvmm5gxrl2v85gvjc69pjfln3nap6g7fh8rh9kn0zna2vdy9r4dj4lqt9py5630r347wkakju2zkgp7cwc0wvf65atu6hgw6awrt2qkxn4v6mkgz2mslgluvwuyn8rmrav30r9ck0f2zae3h0m3fwsz6ynyc2p823230ncpz4582acarj5cjg30pjqz6r47mes3s00v3fddqfshadm8gw7esje9gzygc8eqgade2ynenzmf8xxecqmu4s4ury8f4rh4q36exel6juzgnx4lmfxkcvf6t4pwys8ws6dvx0yw7x4gsz3j37tuxuehty8zw34qsussw3tdm4yaacknz28wr002c6yd7fjlzmuqudhpg7agq6qfn0ur4z54x0u45a3cg6fe8vtzvycu782unppr0wwn5r26tq8r0zcz72997zkvqc86z2hzfssl25wmkks8tg3cgeffh2sh6f3u77x2fg3aux4m92fjjns9drgs5fxdfz0hjvrda5mtnnh4al62fjg5y0wjy5r3kt6j77raf4kwuzmx4hx695gvdfwrm4vkcr6quar0v0avkrq9e5syp5s7nxxtswkp0zunqntlqcsqzue4hewukeevgtv2nk3j6t9z2nwafpet6grpmydhucdk6mwx8een3dcazlsfm55klwcpqseyhs3qykzuv89ksz9apvf7gayqe9wtp3hxt6j8hc6xjgjc5yxtydlmw4gjmp3dx9qk4p29nzmdg8p4m8y8kwm83z6ar9m2xs56kdvwsru885pw9gh0dx4naq5rw2rpqgrxvs6nwsanvuekeuahpl3mafyh3ngqphq52f8nmkfwgj2nx2s62frssa06pqyldg8wjxtc7m2eyre6n3q0g6undrezwt4znyk2f6vzgtkyvvy6x6quaa2pen4ajt22zasl5zm3jecdmsv90557pckqmfm7lcnn246v0n5rh54wj2nkgfwkunsmz4885emx9f45r58c6tavhk202cx79ttt8uadt2wtzkpsguueha2a6rwgsuwn03sztyjc0nl3s5tr2a5kns9hs7gl6x8em78jqu8heawqtvh386vz0c6ywakztpx2v3z5wc0qewgp3cqfk3jnkplnm4lzznmhxwuugnr4g9wsnpr9uvwuhuya20mggezn4tcely488pemde7dfnu63cvxmt3cgycp9hnyklv9dyemf63x7me8p3qkg8vu9fulp2dsk9dmsflr3kvvx9xcl309dm49lst30df6lwahlhf7tztgxej6zz8ggc7kumh4x9hkdwftxj50hcnnxy473d95hf8tdrwecyrxqgufwqjx4uh5ang3rr24d23f55z32r9gv3wly2jn03j6ztrltxvegx8nm6hcu2ef4wsrewny4zjngnmgztmlyragmsuja98pj69cuswqs0fvunwx55kamgmpfytefz73mhxcpvz4fmalcvc3ffusqphtsdrmmjx65zvk7yhlyknm5eu7x5l454hm69mggpdn5dvpqcmmymzktsdphmzwzaj8m4vlr46fhrvetpwc7kn8wtdfxfq5zeewk6983yts0d7w4gvy94y2awz5pjul9jfxu5q04607yklkqsn4ranzv0wy5s6ntcnhmyxdu9nvmf5upcfu9enyvpvjvgcx0ycapr866u5586a407sjpls79rsx63fqw0wht8m4m5nfakahq2jwgngqcg9my5klrqqtgu6vrvacyt79ags3jyf0kz5hp6dtd05cdswftdw2dwunxyt5t4yldk630wlhy7uk0k2f07gcr49ukmf5r7lxvylg9kpdal2vp0r89h5m6xk4wqlwg0w32vevahtqyk9phua0qvj20clmqcf7vhxmaxxzuxnhvh8h2dgz9xfsnf4lyw3u6jysyjfz8zqr9zaqu85s54fmh3puk7p25g8f2cgac5f2kwyj55r4gn8jcv8d6n3puk29flsdnf2p2he2vh0hpnyym6qxgq0549czkjheykka2wx4rxhw30t4vj8t9puuew075vzsq06f8dhmhehyylaty608waptkz8rrj9h7uj6s4sg6dkfacy9v7qcahpsjn6wfu5c7qk4402kashq97lcgzqh8actsr92erazksal8ty6pgh8mf7flj3m22ezva3q5j7ry5em639czm5nf8k0qk3c2n80gyxgtdnlqjj34vrg83p2hhsx0wh7x727emv9y5c5yprr8f8l4zchgnzq9uzx6n2wtzx789hr08slk3f63rt0l03fs8f98n3f9n3sy08jurudgy9z5yd2m63nvj9wy8s7r25ntr7smr5whkcyqvccw3jwctcetn4npg0ylcysslc7znt546nxzfsesdj2f9frlfymu2ucy4ztx802lakjyy9cu96dwvwqn9zjvwnvxyq7x5z8zeuv6hhgcttmwpgmvdmmanknldnjz6d2k5xhm4ggednm2ftk6fted5ft2lf2neqmtx2gqnncnxt7tmvmttpu3lvenwtg9a7ltjj62hylmulc55q9fhycs9lkakrq7rerf7xu3xu8ht7p59s8xe6zqlv2x0pr0p2ku90cmhfffmwuy4tgl2jruxdhangxhu68yax8yl8pl2tmx46u2uqarj7v5nttag6j44sue4hpkvlt486572dhctvs5p7etd8l4hdykap72t8tvk6hwh5wyy7ud22zu8wd6fktq7ueu6de8fl5clacjlx78qmrzk4hmd4623f9je3jhjwxaa7ul70x34phl49nxvxx96wlsgdrydsdqh0fde2cahkkgxyjr8uep4a5w7356yjx47x4wyg5hhn0f56vv4487lmzppms29sr9cu6pa4vuve0dac7dw6uw
2026-Aug-04 07:12:57.342424 INFO    Deposit scheme: aggregated-multikey
2026-Aug-04 07:12:57.342424 INFO    Saving container...
2026-Aug-04 07:13:05.460382 INFO    Container saved
2026-Aug-04 07:13:05.460382 INFO    Wallet is saved
